customer_id,full_name,email,birth_date,gender,city,state,signup_date,customer_segment,acquisition_channel,monthly_income,credit_score,risk_level,is_active,churn_flag
15,Danny Woodward,samantha51@example.com,2006-09-17,Female,New Kevinland,Sudan,2023-10-14,Standard,Organic,3284,712,Medium,True,False
16,Tony Foster-Morris,maureen01@example.net,1950-10-07,Male,Lake Tony,Norway,2025-07-06,Standard,Organic,3478,690,Medium,True,False
17,Mr Howard Hunt,wilsoncheryl@example.org,1968-03-12,Male,Darrenborough,Haiti,2024-01-31,Standard,Google Ads,4425,582,High,True,False
18,Anne Williams,harveylouise@example.com,2003-03-21,Male,East Maryton,Nauru,2024-04-10,Premium,Organic,6663,771,Low,True,False
19,Denise Bray-Owens,jeremy62@example.net,2000-05-16,Male,New Pamelatown,Turkmenistan,2024-03-11,Standard,Organic,4480,723,Medium,True,False
20,Norman Pearce,qshah@example.com,1990-12-13,Male,Francescaborough,Jersey,2023-11-08,Standard,LinkedIn,2483,720,Medium,True,False
21,Kim Buckley-Evans,ibooth@example.net,1980-04-06,Male,Shaneville,Uzbekistan,2025-06-28,Standard,LinkedIn,3653,698,Medium,True,False
22,Katie Davies,hali@example.net,1955-04-21,Female,Roseside,North Macedonia,2026-01-05,Standard,Referral,3389,566,High,True,False
23,Miss Fiona Cooke,hilarywarren@example.net,1970-07-29,Male,North Angela,Faroe Islands,2024-09-06,Standard,LinkedIn,4577,791,Low,True,False
24,Miss Jacqueline Holden,gerald12@example.com,1979-01-11,Male,North Danielle,United States Virgin Islands,2025-05-18,Standard,Google Ads,3730,760,Low,True,False
25,Dr Cheryl Clarke,joshbishop@example.net,1976-06-04,Male,Patriciachester,Ethiopia,2024-04-27,Standard,LinkedIn,3594,836,Low,True,False
26,Mr Jason Moore,scott02@example.net,1977-06-14,Female,Lake Iain,Ghana,2026-01-04,Standard,Referral,4776,769,Low,True,False
27,Mrs Joan Peacock,gary33@example.net,1950-11-23,Female,Evansshire,Argentina,2023-12-09,Premium,Organic,11065,765,Low,True,False
28,Anne Hayward-Foster,valeriefreeman@example.org,1980-01-03,Male,Danielmouth,Colombia,2024-03-17,Standard,Google Ads,2252,601,High,False,False
29,Nathan Green,geoffreyburgess@example.org,1994-06-28,Female,East Denisside,India,2025-11-29,Premium,Referral,6154,677,Medium,False,False
30,Clive Morrison,georgiatucker@example.net,1967-12-17,Female,Rhodestown,Venezuela,2026-06-09,Standard,Organic,2053,785,Low,True,False
31,Miss Shirley Bates,gdickinson@example.com,1978-11-19,Male,Dannymouth,Congo,2024-05-19,Standard,Google Ads,2137,469,High,False,True
32,Miss Linda Holmes,sjarvis@example.com,1997-03-31,Female,Williamsfort,Wallis and Futuna,2026-03-15,Standard,LinkedIn,3327,635,High,True,False
33,Rachel Ryan,armstrongbrandon@example.com,1963-11-25,Female,North Joelberg,Dominican Republic,2024-04-13,Standard,LinkedIn,2269,628,High,False,False
34,Katie Gill,bullmaurice@example.net,1950-04-12,Female,West Robinburgh,Korea,2025-02-28,Premium,Organic,9893,634,High,True,False
35,Stacey Thomas,carole26@example.com,1950-02-01,Female,South Junemouth,Jordan,2024-10-09,Standard,Facebook Ads,2346,699,Medium,True,False
36,Miss Nicola Rowe,zcross@example.org,1945-08-02,Female,South Dorothy,Bouvet Island (Bouvetoya),2024-06-25,Standard,Organic,2101,715,Medium,False,False
37,Rosie Goddard,stewarttony@example.org,1966-03-22,Female,North Timothychester,Philippines,2025-10-27,Standard,Facebook Ads,3806,691,Medium,True,False
38,Harriet Allen,terencechan@example.net,1993-03-05,Male,South Lukechester,Moldova,2024-09-13,Standard,Google Ads,2425,560,High,True,False
39,Liam Foster,joannecooper@example.com,2000-11-29,Male,Williamsmouth,Somalia,2025-05-22,Premium,LinkedIn,5784,735,Medium,True,False
40,Ms Eleanor Martin,hbell@example.org,1950-01-04,Female,Simpsonside,Lesotho,2024-04-09,Standard,Referral,4750,842,Low,True,False
41,Samuel Mason,jknight@example.net,1999-02-15,Male,East Harry,Tokelau,2026-04-22,Premium,Facebook Ads,5971,575,High,True,False
42,Karen Green-Brady,lbradley@example.org,1991-06-28,Female,North Rita,Denmark,2023-10-04,Premium,Google Ads,11713,850,Low,True,True
43,Nicholas Long,carol00@example.net,1991-02-22,Female,Port Lawrenceview,Sweden,2025-05-27,Standard,Organic,4840,656,Medium,False,False
44,Rosemary Martin,kimberleyodonnell@example.com,1951-10-04,Non-Binary,East Jane,Andorra,2023-10-20,Standard,Google Ads,4714,762,Low,True,False
45,Ms Jemma Brown,bcrawford@example.org,1978-10-18,Male,Lake Dianachester,Norway,2025-06-14,Standard,Organic,2456,595,High,True,True
46,Miss Catherine Harris,simonosullivan@example.org,1973-05-03,Male,Harrietchester,Panama,2023-12-30,Standard,Organic,3731,540,High,True,True
47,Dr Hugh Ball,savagephillip@example.com,1949-07-02,Female,Port Oliviatown,British Indian Ocean Territory (Chagos Archipelago),2025-06-07,Standard,Organic,2359,721,Medium,True,False
48,Gregory Taylor,gregorynaylor@example.com,1997-03-11,Male,North Samland,Indonesia,2024-06-26,Standard,Organic,2796,850,Low,True,False
49,Ms Amelia Harris,nallen@example.org,1953-10-06,Male,West Maureenport,Iraq,2025-05-31,Standard,Organic,2757,681,Medium,True,False
50,Grace Khan-O'Donnell,daviesrachel@example.net,1972-03-11,Female,Charleneshire,Venezuela,2025-05-03,Standard,Organic,3870,849,Low,True,False
51,Claire Tucker-Marsh,jwilliams@example.net,1946-03-08,Female,New Aimee,Taiwan,2024-06-12,Standard,Facebook Ads,4289,850,Low,True,False
52,Mr Graham Griffiths,barbarasmith@example.org,1977-12-14,Male,East Andreaborough,Equatorial Guinea,2024-01-12,Premium,LinkedIn,11303,706,Medium,False,False
53,Hazel Berry-Barker,dale42@example.org,2002-03-29,Male,Shaunchester,Germany,2023-12-18,Standard,Organic,4538,735,Medium,True,False
54,Sharon Ahmed,neil09@example.com,1967-06-20,Female,Cameronport,Ecuador,2024-03-15,Standard,Google Ads,4346,790,Low,True,False
55,Dr Sam Reynolds,williamsjoan@example.org,2005-08-25,Female,Lake Lewisfort,New Zealand,2024-08-04,Standard,Facebook Ads,4869,652,Medium,True,False
56,Stephen Hobbs,margaret97@example.net,1986-03-18,Male,Matthewsmouth,Cayman Islands,2025-07-15,Premium,LinkedIn,8348,767,Low,False,False
57,Louis Burgess-Gill,tturner@example.com,1951-10-06,Female,North Tinastad,Korea,2023-07-04,Standard,Facebook Ads,2922,556,High,True,False
58,Nicola Miller-Roberts,mark18@example.org,1972-07-11,Male,New Fiona,Philippines,2024-01-14,Standard,Google Ads,3348,602,High,True,True
59,Marion Brown,pball@example.net,1996-04-19,Female,Grayfort,Aruba,2024-03-02,Standard,Organic,2528,754,Low,True,True
60,Sally White,billy67@example.org,2007-10-25,Female,Stokesside,Isle of Man,2025-05-23,Standard,Organic,2517,675,Medium,True,False
61,Graham Shaw,andrea62@example.net,1976-02-09,Female,Smithhaven,Bhutan,2025-09-15,Standard,Organic,2195,796,Low,True,False
62,Mrs Shirley Bradshaw,beverley59@example.com,1975-03-09,Female,Lake Lawrencefort,Cyprus,2025-08-25,Standard,Google Ads,4782,604,High,False,True
63,Holly Field,bentleyian@example.net,1966-06-12,Male,Youngstad,Madagascar,2025-11-11,Premium,Referral,9846,733,Medium,True,True
64,Ms Julie Evans,jamie68@example.com,1982-06-05,Female,Phillipsville,British Virgin Islands,2024-10-24,Standard,Organic,4793,654,Medium,False,True
65,Mr Craig Hancock,iandrews@example.com,1993-07-08,Female,Sarahside,Jamaica,2023-10-21,Standard,Google Ads,3188,792,Low,False,False
66,Paige Hill,uking@example.org,1992-08-01,Male,West Justin,Sierra Leone,2023-08-21,Standard,Google Ads,4292,661,Medium,True,False
67,Angela Jones,hughescarly@example.net,2007-11-20,Male,New Jennaville,Chad,2023-08-08,Standard,LinkedIn,1972,698,Medium,True,True
68,Anthony Jones-Newman,steelekelly@example.net,2008-02-13,Male,Stonehaven,Venezuela,2024-07-10,Premium,Organic,6996,676,Medium,True,False
69,Mandy Norman,sheila11@example.com,1945-11-12,Female,Cooperfurt,Nauru,2025-01-09,Standard,Facebook Ads,2940,705,Medium,False,True
70,Jessica Day,gilbertjeffrey@example.org,1992-05-10,Non-Binary,New Elliotport,Korea,2025-07-04,Standard,Referral,3056,778,Low,True,False
71,Mr Josh Cox,mitchelldawn@example.org,1976-02-06,Male,Leestad,French Polynesia,2025-10-05,Standard,Google Ads,2270,850,Low,True,False
72,Dorothy Ross,uwilliamson@example.com,2003-05-06,Male,Mauriceview,Reunion,2025-07-10,Standard,Organic,4579,635,High,True,True
73,Kevin Davies-Williamson,stewartjake@example.net,1945-08-08,Female,Naomishire,Korea,2024-03-04,Standard,Facebook Ads,3836,745,Medium,True,False
74,Mrs Lynn Davis,chapmankim@example.com,1945-12-10,Female,Irenebury,Cape Verde,2025-10-05,Premium,LinkedIn,6838,777,Low,False,False
75,Mrs Denise Baker,mortonnicholas@example.net,1970-12-28,Female,Port Ashleighburgh,Slovenia,2025-05-13,Standard,Google Ads,2815,794,Low,False,False
76,Alice Price-Day,alisongreen@example.net,1968-06-19,Male,South Jackfort,Malawi,2025-01-29,Business,Organic,18938,662,Medium,True,True
77,Dr Tracy Morgan,dominic04@example.com,2008-02-16,Female,Port Kenneth,Saint Pierre and Miquelon,2024-12-25,Standard,Referral,4670,720,Medium,False,False
78,Miss Amanda Hughes,russelljonathan@example.net,1999-01-04,Male,West Normanton,Cyprus,2023-08-13,Premium,Facebook Ads,9178,724,Medium,True,False
79,Amelia Johnson,russelljean@example.com,1950-08-07,Male,Rowleystad,Poland,2024-03-04,Standard,Google Ads,3269,726,Medium,True,False
80,Mrs Jill Martin,saundersfrancis@example.net,1988-11-23,Female,East Judith,Cuba,2024-02-07,Standard,LinkedIn,2570,739,Medium,True,False
81,Mr David Short,taylorvictoria@example.org,1955-08-28,Female,Leestad,Greece,2025-10-09,Premium,Referral,6848,654,Medium,True,False
82,Rachel Chamberlain,annetteharris@example.org,1957-03-22,Female,West Susanhaven,Gambia,2024-10-22,Premium,LinkedIn,9859,850,Low,False,False
83,Carl King,jayne24@example.net,2007-06-27,Female,Jamesfurt,Ecuador,2023-12-29,Standard,Facebook Ads,3817,716,Medium,True,False
84,Donna Knight,sjones@example.com,1983-03-07,Male,Lewisborough,Cape Verde,2024-11-05,Premium,Google Ads,5137,526,High,False,False
85,Mr Ross Hill,fosterowen@example.com,1971-01-16,Female,Lake Josh,Solomon Islands,2026-05-29,Business,Google Ads,26388,608,High,True,False
86,Lucy Francis,daviesgarry@example.com,1954-01-02,Male,West Sylviafurt,Bermuda,2026-05-15,Standard,Google Ads,3794,651,Medium,True,False
87,Dr Joshua Williams,xwilliams@example.com,1967-04-05,Female,South Jordan,Costa Rica,2023-10-18,Premium,Google Ads,8266,737,Medium,True,False
88,Christian Gregory,terrykelly@example.net,1970-03-26,Male,Jessicamouth,Saint Kitts and Nevis,2024-03-09,Standard,Organic,4381,701,Medium,True,True
89,Sylvia Edwards,carterangela@example.com,1948-02-10,Female,East Sian,Cyprus,2024-01-03,Standard,Google Ads,2901,602,High,True,False
90,Dr Glen Green,jake15@example.net,1967-08-19,Female,East Tobyport,Macao,2023-08-19,Standard,Referral,1847,607,High,True,True
91,Dominic Bryan,daniel06@example.com,1959-06-04,Female,Marionfurt,Belarus,2025-11-21,Standard,Referral,4566,763,Low,True,False
92,Jake Browne,hunteranne@example.com,1988-06-14,Female,Port Natasha,Luxembourg,2024-05-13,Standard,Google Ads,4546,705,Medium,True,False
93,Miss Lisa Hudson,albertjones@example.net,1956-04-28,Male,Lake Nicholasside,Bolivia,2025-05-14,Standard,Google Ads,4653,571,High,True,False
94,Fiona Barnett,wgibbs@example.org,1947-09-06,Female,Port Rhys,Guadeloupe,2025-12-27,Standard,Referral,1925,716,Medium,True,False
95,Dr Craig Freeman,blees@example.com,1965-07-05,Female,Carlyport,Netherlands,2026-01-17,Premium,LinkedIn,7156,850,Low,True,False
96,Lynn Davies,mkirby@example.org,1992-04-04,Female,Lake Bernard,Isle of Man,2025-12-18,Standard,Google Ads,4460,650,Medium,True,False
97,Dr Cameron Butler,pgraham@example.org,1978-10-02,Male,North Harrietmouth,Luxembourg,2024-04-23,Business,Referral,15812,650,Medium,True,False
98,Jay Bennett,lmoore@example.com,1966-03-29,Male,New Declanberg,Isle of Man,2024-10-07,Standard,Facebook Ads,2960,599,High,True,False
99,Gillian Allen-Williams,roybegum@example.com,1997-11-12,Female,Lake Oliviabury,Italy,2025-10-03,Standard,LinkedIn,2267,653,Medium,True,False
100,Gail Hussain,iparkin@example.org,1959-01-20,Non-Binary,Gregoryborough,Albania,2024-07-30,Standard,Referral,3258,760,Low,True,False
101,Oliver Parsons,anthony09@example.org,1947-07-19,Female,Port Clifford,Albania,2023-09-15,Standard,Organic,2331,663,Medium,True,False
102,Maureen Reynolds,kirstyadams@example.com,1948-05-01,Male,East Kerryfurt,Morocco,2023-06-14,Standard,Google Ads,3826,675,Medium,True,False
103,Clare Walker-Brown,kingaaron@example.net,1970-02-19,Female,Robertsberg,Qatar,2024-10-16,Standard,LinkedIn,4745,780,Low,True,False
104,Leah Nicholson,jeremy06@example.com,1975-08-16,Female,Millerberg,American Samoa,2023-09-19,Standard,Referral,3838,653,Medium,True,True
105,Ms Maureen Ellis,garry19@example.com,1990-12-04,Female,Josephport,Palau,2024-11-04,Standard,LinkedIn,3708,713,Medium,True,True
106,Jamie Cooper,gmoore@example.com,1986-07-18,Male,Lake Louis,Moldova,2025-07-28,Premium,Organic,8850,707,Medium,True,False
107,Samantha Blake,taylorsam@example.org,1975-03-07,Female,East Ann,Georgia,2025-06-18,Premium,Google Ads,5077,523,High,True,False
108,Roger Fletcher,thomas58@example.net,1973-01-25,Female,Susanside,Mongolia,2023-08-01,Standard,Google Ads,4269,728,Medium,True,False
109,Ben Morris-Wright,chopkins@example.org,2003-07-28,Female,Kylechester,Congo,2024-04-04,Standard,Organic,3797,516,High,True,False
110,Eric Johnson,houghtonmarcus@example.org,1997-11-08,Female,Josephineside,United States of America,2023-07-21,Premium,Organic,10408,814,Low,True,False
111,Mr Josh Bennett,ojames@example.org,1982-11-22,Female,Johntown,Wallis and Futuna,2024-10-15,Standard,Referral,4844,660,Medium,True,False
112,Lauren Stephens,kayleighwest@example.net,1993-05-16,Male,New Carolfurt,Sierra Leone,2025-04-15,Standard,Google Ads,3732,731,Medium,True,False
113,Mrs Lucy Webb,gwilliamson@example.com,1953-08-12,Female,East Maurice,Liberia,2024-07-21,Premium,Google Ads,8228,760,Low,True,False
114,Kevin Bailey,gfreeman@example.org,1987-08-13,Male,Ahmedtown,Heard Island and McDonald Islands,2026-05-19,Standard,Organic,3916,626,High,True,False
115,Sharon Giles,francis45@example.org,1985-02-24,Female,New Joelshire,Libyan Arab Jamahiriya,2025-02-16,Standard,Facebook Ads,2145,714,Medium,True,True
116,Geraldine Davis,colesgeoffrey@example.org,1983-09-18,Female,New Ryanborough,Romania,2024-04-17,Standard,Referral,3147,850,Low,True,True
117,Neil Ellis,elliott12@example.org,1969-05-27,Male,New Dylan,Antarctica (the territory South of 60 deg S),2025-11-14,Standard,Organic,3728,827,Low,False,False
118,Dr Ian Jennings,kennethwatson@example.net,1966-04-20,Male,North Sandraborough,Monaco,2024-01-03,Business,Google Ads,13645,659,Medium,True,False
119,Mathew Taylor,nichollsluke@example.com,1984-03-19,Male,Batesstad,Jamaica,2024-01-20,Standard,Google Ads,3734,652,Medium,True,False
120,Marc Williams-Powell,schofieldvanessa@example.com,1962-03-11,Male,South Sharonchester,Colombia,2025-12-09,Standard,Google Ads,2336,689,Medium,True,False
121,Dr Kim Jackson,david28@example.net,2002-11-21,Female,New Katherine,Egypt,2024-08-15,Premium,Google Ads,11783,679,Medium,True,False
122,Cameron Johnson,lauren75@example.org,1984-10-22,Male,Kylemouth,Syrian Arab Republic,2024-05-11,Premium,Organic,11320,579,High,True,True
123,Miss Annette Mahmood,ryan06@example.net,1962-01-12,Female,Lake Robinhaven,United Kingdom,2024-01-15,Standard,Organic,2648,636,High,False,False
124,Neil Mitchell,millerdorothy@example.net,1962-05-29,Male,Evansstad,Guadeloupe,2026-04-12,Premium,Organic,5951,686,Medium,False,False
125,Rhys Kent,tobyrahman@example.net,1947-06-05,Female,North Victorton,Jamaica,2024-11-03,Standard,Organic,4890,811,Low,True,False
126,Nicole Simpson,tdavies@example.com,1983-03-04,Male,Dorothyland,Belarus,2023-12-20,Standard,Facebook Ads,4772,487,High,True,False
127,Charles Hutchinson,gallen@example.com,2002-12-17,Male,Kathleentown,Vanuatu,2026-01-02,Standard,Google Ads,3934,679,Medium,True,False
128,Guy Davies,aimeereynolds@example.org,1979-10-09,Female,Port Deborah,Indonesia,2025-04-15,Standard,Organic,4608,781,Low,True,False
129,Reece Tucker,benwilson@example.org,1947-10-21,Female,East Dannychester,Zimbabwe,2023-09-07,Standard,Organic,3943,701,Medium,True,False
130,Kathryn Williams,ashleybarnett@example.org,1960-02-09,Male,Henryview,Tajikistan,2023-12-19,Standard,Organic,2622,704,Medium,False,True
131,Mr Luke Williams,deanpalmer@example.com,1950-03-27,Male,Owenville,Nauru,2025-02-21,Standard,Organic,2714,566,High,False,False
132,Tony Ahmed,craig90@example.com,1970-03-13,Male,Stevensland,Puerto Rico,2024-03-12,Standard,Referral,2270,841,Low,True,False
133,Declan Sheppard,hardypauline@example.org,1987-10-05,Female,North Adrianburgh,Bosnia and Herzegovina,2024-05-24,Standard,Google Ads,2876,716,Medium,True,True
134,Daniel Khan-Jones,jacquelineholmes@example.org,2006-08-20,Female,Hannahport,Kuwait,2025-12-28,Premium,Referral,9223,692,Medium,True,False
135,Shirley Simpson,leeholt@example.com,1948-08-05,Female,New Robert,Fiji,2023-12-05,Standard,Organic,3104,650,Medium,True,False
136,Henry Slater,goddardjade@example.net,1973-05-13,Female,Lake Emilyburgh,Kazakhstan,2024-08-11,Standard,Google Ads,1874,666,Medium,True,False
137,Kenneth Thomas,ross02@example.net,2007-07-03,Male,Mohammadmouth,Lesotho,2024-03-18,Standard,Facebook Ads,3500,782,Low,True,True
138,Marie Harding,kellygarner@example.net,1988-09-15,Female,New Abbieborough,Saint Martin,2025-04-25,Premium,LinkedIn,9263,737,Medium,True,False
139,Lewis Hill,boothdamian@example.org,1967-05-25,Female,Talbotberg,Kenya,2024-04-07,Premium,Organic,8028,730,Medium,True,False
140,Katherine Rees-Johnson,boothclaire@example.org,1989-08-04,Male,New Saraport,Sierra Leone,2025-11-11,Standard,Facebook Ads,2593,510,High,True,False
141,Peter Nicholls,probinson@example.org,1954-07-27,Female,Raymondhaven,Venezuela,2023-12-26,Premium,Organic,11887,624,High,True,False
142,Rachael Hawkins,gregoryreynolds@example.net,1962-07-17,Female,Derekside,Bulgaria,2025-04-08,Standard,Organic,3562,850,Low,True,False
143,Ian Reeves,sylvia23@example.net,1986-02-28,Female,Lake Linda,Bhutan,2024-11-20,Standard,Google Ads,3324,598,High,True,False
144,Mathew Iqbal-Burrows,vdavies@example.net,1978-07-07,Male,Barnesmouth,Peru,2024-08-07,Standard,Organic,3052,593,High,True,False
145,Ricky Harrison,pageraymond@example.com,1956-04-06,Female,Leonside,Puerto Rico,2025-12-12,Standard,Referral,4664,594,High,True,False
146,Dr Leslie Ross,rachael99@example.com,1955-11-30,Female,Wallborough,Greenland,2024-04-01,Standard,LinkedIn,4221,681,Medium,True,False
147,Mr Terry Smith,carole80@example.net,2005-08-04,Female,Lake Lindseyfurt,Bangladesh,2026-03-30,Standard,Organic,2288,734,Medium,True,False
148,Miss Marion Fowler,robertsmalcolm@example.net,2008-01-16,Male,Lake Denise,Philippines,2023-10-18,Standard,Referral,1936,716,Medium,True,True
149,Robert Schofield-Kirby,tparkin@example.org,1982-01-29,Female,New Oliverton,Greenland,2025-03-28,Premium,Organic,7419,662,Medium,True,True
150,Kieran Cooper-Davies,dpeacock@example.net,2005-05-21,Male,Saraport,Sao Tome and Principe,2025-11-21,Standard,Google Ads,2921,770,Low,False,False
151,Gregory Parry,gilbertkaty@example.org,1955-04-17,Male,Douglaschester,Sri Lanka,2025-09-12,Standard,Facebook Ads,4344,850,Low,True,False
152,Dr Ian Phillips,zknight@example.net,1968-09-17,Female,South Marystad,Poland,2024-06-23,Standard,Google Ads,2538,738,Medium,True,True
153,Kathryn Sanders,hydedebra@example.net,1997-11-22,Male,Port Natashaberg,Svalbard & Jan Mayen Islands,2025-01-16,Premium,Organic,8810,698,Medium,True,False
154,Simon Wilson,wendy99@example.org,1954-01-08,Male,Terryton,Bulgaria,2026-01-17,Standard,Google Ads,2139,655,Medium,True,False
155,Hazel Bradley,uwhite@example.com,1958-01-07,Male,North Martyn,Hungary,2024-02-09,Standard,Organic,4171,753,Low,True,False
156,Alexander Quinn,rbrown@example.net,1983-01-23,Female,Port Kayleigh,Honduras,2026-03-31,Standard,Organic,2763,829,Low,True,False
157,Dr Olivia Edwards,patricia31@example.net,1984-02-20,Female,Lake Katyland,Sao Tome and Principe,2025-10-24,Standard,Organic,3263,719,Medium,False,False
158,Rosie Hunter,eleanor91@example.org,1960-06-03,Male,Lake Christopherview,United Kingdom,2026-03-09,Standard,Organic,3133,774,Low,True,False
159,Dr Robin Evans,zpatterson@example.com,1955-03-29,Female,Port Nicolefurt,Tokelau,2025-08-04,Standard,Google Ads,4600,741,Medium,True,False
160,Louis Robinson,afreeman@example.net,1960-02-11,Male,North Ricky,British Virgin Islands,2025-04-13,Standard,Referral,4266,795,Low,True,False
161,Mr Damien Barber,jonathan01@example.net,1997-02-08,Male,Abbiefurt,Myanmar,2023-07-21,Standard,Facebook Ads,4991,520,High,True,False
162,Dr Clive Patel,xpowell@example.org,1986-10-05,Male,North Colin,Congo,2026-05-14,Standard,Google Ads,3286,629,High,True,False
163,Rachael Webb-Fletcher,andrewwilliams@example.com,2005-12-28,Male,Hazelchester,Morocco,2023-06-28,Standard,Facebook Ads,4175,681,Medium,True,False
164,Anna Turner,qrose@example.org,2001-03-27,Female,Chelseaville,Cote d'Ivoire,2026-05-11,Business,Referral,17233,708,Medium,True,False
165,Marcus Roberts,awarren@example.net,2007-06-13,Female,Maureentown,Brunei Darussalam,2024-02-16,Standard,Organic,3689,788,Low,True,False
166,Timothy Jones,connor40@example.com,1999-09-07,Female,South Stewart,Greenland,2024-04-21,Standard,Referral,4663,710,Medium,True,False
167,Mr Paul Griffin,rogersdorothy@example.net,1987-06-24,Female,North Callum,Uzbekistan,2025-07-01,Standard,Organic,4269,715,Medium,False,False
168,Mrs Rita Parkinson,jayne14@example.org,1957-03-13,Female,Port Hazelland,Belarus,2024-10-07,Premium,Referral,8508,687,Medium,True,False
169,Damien Ali,fwood@example.net,1973-09-20,Male,North Duncan,Guadeloupe,2025-06-14,Standard,Referral,2094,752,Low,True,False
170,Samuel Vaughan,lisanoble@example.org,1974-03-15,Non-Binary,Glenshire,Burkina Faso,2026-01-31,Standard,Google Ads,4314,548,High,True,False
171,Nathan Anderson-Fraser,hmanning@example.net,1983-09-18,Female,Mathewville,Iran,2024-11-07,Standard,Organic,3045,761,Low,True,False
172,Mr Craig Higgins,iantucker@example.net,1968-10-01,Female,East Kerryview,Japan,2023-09-02,Premium,Organic,11544,754,Low,True,False
173,Alexander Webb-Morgan,bdennis@example.org,1945-08-16,Male,East Gregoryburgh,Djibouti,2023-10-29,Premium,Organic,9799,653,Medium,True,False
174,Jane Knight,joneskathleen@example.net,1984-01-06,Male,Lake Alan,San Marino,2023-10-07,Premium,Organic,11222,850,Low,True,False
175,Anne Dunn,lisa83@example.net,2006-04-28,Female,McLeanburgh,Liechtenstein,2024-10-14,Standard,Organic,2315,584,High,True,False
176,Brian Payne-Moss,kingian@example.com,1952-10-03,Female,Morrisfort,Pitcairn Islands,2026-01-31,Standard,Facebook Ads,2773,524,High,True,True
177,Dean Jarvis,grace46@example.net,1949-03-07,Male,East Rachel,Mauritania,2026-05-30,Standard,Facebook Ads,2788,690,Medium,True,False
178,Rita Lawrence,jean72@example.com,2004-12-18,Male,Port Darren,Norway,2024-08-31,Standard,Referral,2733,750,Low,True,False
179,Gregory Powell,gerardgreen@example.org,2006-08-20,Male,Kellyville,Afghanistan,2023-09-04,Standard,Organic,3094,850,Low,True,False
180,Miss Michelle Knowles,stephaniewright@example.com,2000-04-10,Male,Lake Christineburgh,Monaco,2024-01-15,Standard,Facebook Ads,3835,567,High,True,False
181,Joel Harrison,smithconor@example.net,1949-10-04,Female,Lake Ashleighfurt,French Polynesia,2023-07-16,Business,Google Ads,27251,692,Medium,True,True
182,Joanna Scott-Jones,jacobchapman@example.net,1953-02-22,Male,Wardmouth,Comoros,2025-03-20,Standard,LinkedIn,2816,815,Low,True,False
183,Alice Pearson-Robinson,bbailey@example.net,1965-06-03,Male,Port Linda,Lesotho,2025-09-14,Standard,LinkedIn,2887,677,Medium,True,False
184,Rita Stone,ntaylor@example.com,1945-12-18,Female,Morrismouth,Czech Republic,2023-07-16,Standard,Referral,3124,697,Medium,True,False
185,Carole Buckley,browndebra@example.org,1956-12-15,Female,Kellyberg,Luxembourg,2023-06-23,Premium,Organic,6576,699,Medium,True,False
186,John Hayes,bclark@example.com,2006-11-13,Male,Chelseaview,Swaziland,2023-08-07,Standard,Referral,1801,607,High,True,False
187,Hazel Woodward,stephensgordon@example.org,1982-12-24,Male,Shahfurt,Samoa,2025-03-20,Standard,Organic,4974,715,Medium,True,False
